ASAP_molecule_ID,ASAP_batch_ID,ASAP_VCID,vendor_catalog_ID,vendor_batch_ID,vendor,parent_CXSMILES,salt_name,salt_ratio,MAC1_IC50_GMean_MOD,MAC1_IC50_GMean_NUM (µM),MAC1_IC50_GMean_STDDEV (×/÷),MAC1_IC50_GMean_COUNT
ASAP-0000508,ASAP-0000508-001,ASAP-VC-3237,Z1724766966,H4216720,Enamine,CN1C=C([C@@H](NC2=NC=NC3=C2C=CN3)C2=CC=C(F)C=C2)C=N1 |&1:4|,,,>,99.5,1.0,2
ASAP-0000509,ASAP-0000509-001,ASAP-VC-1967,Z7358231532,H4224839,Enamine,O=C(O)C1=CN(CCCNC(=O)C2=NC=NC3=C2C=CN3)N=N1,,,>,99.5,,1
ASAP-0000510,ASAP-0000510-001,ASAP-VC-1971,Z7358231554,H4243763,Enamine,O=C(O)C1=CN(CCNC(=O)C2=NC=NC3=C2C=CN3)C=N1,,,>,99.5,,1
ASAP-0000512,ASAP-0000512-001,ASAP-VC-3235,Z7358231583,H4248444,Enamine,COC1=CC=CC(CSC[C@@H](NC(=O)C2=NC=NC3=C2C=CN3)C(=O)O)=C1 |&1:10|,,,>,99.5,1.0,2
ASAP-0000513,ASAP-0000513-001,ASAP-VC-3234,Z7231215943,H4228639,Enamine,CS(=O)(=O)NC1CCC(NC2=CC=C([C@@H](CC(=O)O)NC(=O)C3=CNC4=NC=NC=C34)C=C2)CC1 |&1:14|,,,>,99.5,1.0,2
ASAP-0000511,ASAP-0000511-001,ASAP-VC-3236,Z7337777608,H4234629,Enamine,CC(C)[C@@H](CN1CCCCC1)NC1=NC=NC2=C1C=CN2 |&1:3|,,,>,99.5,,1
ASAP-0000477,ASAP-0000477-001,ASAP-VC-3257,Z2348305792,H4216967,Enamine,CC(C)[C@H]1N(C2=NC=NC3=C2C=CN3)CC12CCOCC2 |&1:3|,,,>,99.5,,1
ASAP-0000396,ASAP-0000396-001,ASAP-VC-3288,Z7056091946,H4179568,Enamine,O=C(C1=CC=CC=C1)N1CCC(C2=CC3=C(C(=O)N4CCCC[C@H](O)C4)C=NN3C=C2)CC1 |&1:23|,,,>,99.5,,1
ASAP-0000456,ASAP-0000456-001,ASAP-VC-1618,Z6934761714,H4218762,Enamine,O=C(O)C1=CN=C(C(=O)N2CCC(C3=CC4=C(C(=O)N5CCCCC5)C=NN4C=C3)CC2)C=N1,,,>,99.5,,1
ASAP-0000457,ASAP-0000457-001,ASAP-VC-1619,Z6934761730,H4218763,Enamine,CN1N=C(C(=O)O)C=C1C(=O)N1CCC(C2=CC3=C(C(=O)N4CCCCC4)C=NN3C=C2)CC1,,,>,99.5,,1
ASAP-0000545,ASAP-0000545-001,ASAP-VC-2196,Z4375112427,H4266720,Enamine,CC1=C(C)C2=C(NC(=O)C3CC(C(F)(F)F)C3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000547,ASAP-0000547-001,ASAP-VC-2746,Z7630046671,H4261124,Enamine,O=C(NC1=NC=NC2=C1SC=C2C(=O)NC1=CC=CC=C1C(=O)N1CCCC1)NC1CC1,,,>,99.5,,1
ASAP-0000548,ASAP-0000548-001,ASAP-VC-2761,Z7630046774,H4261122,Enamine,O=C(NC1=C2SC=C(C(=O)NC3(C4=CC=CC=C4F)CCCCC3)C2=NC=N1)NC1CC1,,,>,99.5,,1
ASAP-0000552,ASAP-0000552-001,ASAP-VC-2207,Z7593369451,H4266552,Enamine,O=C(NCC1=CC=CC=C1F)C1=NC=NC2=C1C=CN2,,,>,99.5,,1
ASAP-0000553,ASAP-0000553-001,ASAP-VC-2209,Z7593369486,H4266559,Enamine,O=C(NCC1=CC=C(F)C=N1)C1=NC=NC2=C1C=CN2,,,>,99.5,,1
ASAP-0000555,ASAP-0000555-001,ASAP-VC-2223,Z6488451853,H4266827,Enamine,NC(=O)C1=CC=C(S(=O)(=O)NC2=CN=C3NC=CC3=C2)C=C1,,,>,99.5,,1
ASAP-0000557,ASAP-0000557-001,ASAP-VC-2219,Z7593379439,H4266715,Enamine,CC(=O)C1=CC=C(S(=O)(=O)NC2=CN=C3NC=CC3=C2)C=C1,,,>,99.5,,1
ASAP-0000558,ASAP-0000558-001,ASAP-VC-2215,Z7593379372,H4266543,Enamine,CN(C)C(=O)C1=CC=CC(S(=O)(=O)NC2=CN=C3NC=CC3=C2)=C1,,,>,99.5,,1
ASAP-0000560,ASAP-0000560-001,ASAP-VC-2222,Z7593379499,H4266547,Enamine,N#CCC1=CC(S(=O)(=O)NC2=CN=C3NC=CC3=C2)=CC=C1,,,>,99.5,,1
ASAP-0000561,ASAP-0000561-001,ASAP-VC-2218,Z7593379421,H4266545,Enamine,O=S(=O)(CC1=CC=CC=C1F)NC1=CN=C2NC=CC2=C1,,,>,99.5,,1
ASAP-0000563,ASAP-0000563-001,ASAP-VC-3229,Z2632341577,H4266550,Enamine,NC(=O)C[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1CCCCC1 |&1:4|,,,>,99.5,,1
ASAP-0000554,ASAP-0000554-001,ASAP-VC-2216,Z7593379389,H4266709,Enamine,O=S(=O)(CC1=CC=C(F)C=C1)NC1=CN=C2NC=CC2=C1,,,>,99.5,,1
ASAP-0000562,ASAP-0000562-001,ASAP-VC-2220,Z7593379458,H4266828,Enamine,COC1=CC=C(S(=O)(=O)NC2=CN=C3NC=CC3=C2)C=C1C(N)=O,,,>,99.5,,1
ASAP-0000559,ASAP-0000559-001,ASAP-VC-2210,Z7593369499,H4266562,Enamine,CCC1=C(NC(=O)C2=NC=NC3=C2C=CN3)N(C)N=C1,,,>,99.5,,1
ASAP-0000556,ASAP-0000556-001,ASAP-VC-3230,Z7593369418,H4266551,Enamine,O=C(N[C@@H](CCO)C1=CC=CC=C1F)C1=NC=NC2=C1C=CN2 |&1:3|,,,>,99.5,1.0,2
ASAP-0000564,ASAP-0000564-001,ASAP-VC-3228,Z7593369536,H4266830,Enamine,C[C@@H](C1=CC=C(F)C(F)=C1)N(C)C(=O)C1=NC=NC2=C1C=CN2 |&1:1|,,,>,99.5,,1
ASAP-0000565,ASAP-0000565-001,ASAP-VC-2217,Z7593379402,H4266711,Enamine,CC1=CC(C)=CC(CS(=O)(=O)NC2=CN=C3NC=CC3=C2)=C1,,,>,99.5,,1
ASAP-0000566,ASAP-0000566-001,ASAP-VC-3227,Z2631979720,H4266829,Enamine,CC(C)[C@@H](CC1=CC=C(F)C=C1)NC(=O)C1=NC=NC2=C1C=CN2 |&1:3|,,,>,99.5,,1
ASAP-0000568,ASAP-0000568-001,ASAP-VC-2865,Z1647894099,T7799030,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=C(Cl)C=N3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000583,ASAP-0000583-001,ASAP-VC-2214,Z7593379360,H4269612,Enamine,CC(C)N1N=CC=C1S(=O)(=O)NC1=CN=C2NC=CC2=C1,,,>,99.5,,1
ASAP-0000585,ASAP-0000585-001,ASAP-VC-2885,Z7691942131,H4293801,Enamine,O=C(NC1=CC=C(C(=O)NC2=C(C(=O)O)SC3=CN=CC=C23)C=C1)NC1CC1,,,>,99.5,1.0,2
ASAP-0000586,ASAP-0000586-001,ASAP-VC-2874,Z1647880405,ZB000414,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=C(N4C=CC=N4)N=C3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000594,ASAP-0000594-001,ASAP-VC-2859,Z7691995155,H4283964,Enamine,CC1=C(C)C2=C(NC(=O)C3=CN=C(Cl)C=N3)N=CN=C2N1,,,>,99.5,1.0,2
ASAP-0000596,ASAP-0000596-001,ASAP-VC-2872,Z1592200531,ZB000434,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC(Cl)=CC=N3)N=CN=C2N1,,,>,99.5,1.0,2
ASAP-0000587,ASAP-0000587-001,ASAP-VC-3498,Z7612358464,H4269613,Enamine,NC(=O)C[C@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Cl)C=C1,,,>,99.5,1.0,2
ASAP-0000595,ASAP-0000595-001,ASAP-VC-2856,Z7691995161,H4284057,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=C(Cl)N=N3)N=CN=C2N1,,,>,99.5,1.0,2
ASAP-0000584,ASAP-0000584-001,ASAP-VC-2948,Z7720157187,H4299814,Enamine,O=C(NC1=C2NC=C(C(=O)N[C@@H](C3=CC=CC=C3)C(F)F)C2=CC=C1)NC1CC1 |&1:11|,,,>,99.5,,1
ASAP-0000592,ASAP-0000592-001,ASAP-VC-3493,Z7593369433,H4281094,Enamine,O=C(N[C@@H](CO)CC1=CC=NC=C1)C1=NC=NC2=C1C=CN2 |&1:3|,,,>,99.5,,1
ASAP-0000589,ASAP-0000589-001,ASAP-VC-3496,Z7593369468,H4266557,Enamine,NC(=O)[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(F)C=C1 |&1:3|,,,>,99.5,1.0,2
ASAP-0000597,ASAP-0000597-001,ASAP-VC-2851,Z1647892067,H4283809,Enamine,COC1=CC=C(C(=O)NC2=NC=NC3=C2C(C)=C(C)N3)C=N1,,,>,99.5,1.0,2
ASAP-0000599,ASAP-0000599-001,ASAP-VC-2849,Z1592200696,H4284056,Enamine,CC1=CC=C(C(=O)NC2=C3C(C)=C(C)NC3=NC=N2)C=N1,,,>,99.5,1.0,2
ASAP-0000601,ASAP-0000601-001,ASAP-VC-3490,Z7691912372,H4285455,Enamine,CN(C)C1=CC=C(C(=O)N[C@@H](CC(=O)O)C2=CC=C(Br)C=C2)N=C1 |&1:10|,,,>,99.5,1.0,2
ASAP-0000606,ASAP-0000606-001,ASAP-VC-3485,Z7691912376,H4285667,Enamine,O=C(O)C[C@@H](NC(=O)C1=CC=CC2=C1C=NN2)C1=CC=C(Br)C=C1 |&1:4|,,,>,99.5,1.0,2
ASAP-0000612,ASAP-0000612-001,ASAP-VC-3479,Z1869619509,H4287831,Enamine,O=C(O)C[C@@H](NC(=O)CC1=CNC2=NC=CC=C12)C1=CC=C(Br)C=C1 |&1:4|,,,>,99.5,1.0,2
ASAP-0000611,ASAP-0000611-001,ASAP-VC-3480,Z7691912379,H4288601,Enamine,O=C(O)C[C@@H](NC(=O)C1=CC=NC(N2C=CC=C2)=C1)C1=CC=C(Br)C=C1 |&1:4|,,,>,99.5,1.0,2
ASAP-0000600,ASAP-0000600-001,ASAP-VC-2873,Z7691995158,H4285662,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=CN=N3)N=CN=C2N1,,,>,99.5,1.0,2
ASAP-0000608,ASAP-0000608-001,ASAP-VC-3483,Z7691912365,H4285453,Enamine,CC1=CC2=C(C(=O)N[C@@H](CC(=O)O)C3=CC=C(Br)C=C3)C=CC=C2N1 |&1:8|,,,>,99.5,1.0,2
ASAP-0000614,ASAP-0000614-001,ASAP-VC-2877,Z1647888080,H4283597,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=CC(Cl)=N3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000615,ASAP-0000615-001,ASAP-VC-2880,Z7655698526,H4283960,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=C(N4C=NN=C4)C=C3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000617,ASAP-0000617-001,ASAP-VC-2850,Z1647886416,ZB000386,Enamine,CC1=C(C)C2=C(NC(=O)C3=CC=C(C#N)N=C3)N=CN=C2N1,,,>,99.5,,1
ASAP-0000626,ASAP-0000626-001,ASAP-VC-3473,Z7231215578,H4281099,Enamine,"COC[C@@H]1C[C@@H]1CNC1=CC=C([C@@H](CC(=O)O)NC(=O)C2=CNC3=NC=NC=C23)C=C1 |&1:3,&2:5,&3:12|",,,>,99.5,1.0,2
ASAP-0000628,ASAP-0000628-001,ASAP-VC-2952,Z7720157210,H4295343,Enamine,O=C(NC1=C2NC=C(C(=O)N[C@@H](C(=O)O)C3=CC=C4OCCOC4=C3)C2=CC=C1)NC1CC1 |&1:11|,,,>,99.5,1.0,2
ASAP-0000616,ASAP-0000616-001,ASAP-VC-2894,Z7691942201,H4288589,Enamine,COC1=CC=C2C(NC(=O)C3=CC=C(NC(=O)NC4CC4)C=C3)=C(C(=O)O)SC2=C1,,,>,99.5,,1
ASAP-0000621,ASAP-0000621-001,ASAP-VC-2854,Z1592200472,H4284829,Enamine,CC1=C(C)C2=C(N=CN=C2NC(=O)C2=CC=C(N(C)C)N=C2)N1,,,>,99.5,1.0,2
ASAP-0000629,ASAP-0000629-001,ASAP-VC-3472,Z7630046656,H4271423,Enamine,O=C(NC1=NC=NC2=C1SC=C2C(=O)N[C@@H](C1=CC=CS1)C1CCCC1)NC1CC1 |&1:15|,,,>,99.5,,1
ASAP-0000633,ASAP-0000633-001,ASAP-VC-3470,Z7630046654,H4276612,Enamine,"C[C@@H](O)[C@@H](NC(=O)C1=CSC2=C(NC(=O)NC3CC3)N=CN=C12)C1=CC=CC=C1F |&1:1,&2:3|",,,>,99.5,,1
ASAP-0000634,ASAP-0000634-001,ASAP-VC-3503,Z1647890468,H4271791,Enamine,CC1=C(C)C2=C(NC(=O)[C@@H]3CCC4=C3C=CC=C4Cl)N=CN=C2N1 |&1:9|,,,>,99.5,,1
ASAP-0000636,ASAP-0000636-001,ASAP-VC-3469,Z7701439586,H4288269,Enamine,COCC1=NOC(CNC2=CC=C([C@@H](CC(=O)O)NC(=O)C3=CNC4=NC=NC=C34)C=C2)=C1 |&1:13|,,,>,99.5,1.0,2
